departure,return,departure_id,departure_name,return_id,return_name,distance (m),duration (sec.),avg_speed (km/h),departure_latitude,departure_longitude,return_latitude,return_longitude,Air temperature (degC)
3/23/2020 8:22,3/23/2020 8:42,6,Hietalahdentori,1,Kaivopuisto,3669,1206,0.182537313,60.1622251,24.9297099,60.15544479,24.95029289,1.5
3/23/2020 8:22,3/23/2020 14:45,3,Kapteeninpuistikko,40,Hakaniemi (M),3598,1168,0.184828767,60.1581892,24.9449274,60.17810632,24.95218125,1.5
3/23/2020 8:23,3/23/2020 8:34,121,Vilhonvuorenkatu,245,Kulosaari (M),2301,685,0.201547445,60.1864633,24.9678718,60.18895009,25.00656653,1.5
3/23/2020 8:23,3/23/2020 9:01,254,Agnetankuja,258,Abraham Wetterin tie,1778,2269,0.047016307,60.18723412,25.03641229,60.1927079,25.04258027,1.5
3/23/2020 8:24,3/23/2020 8:39,29,Baana,50,Melkonkuja,3101,937,0.198569904,60.164088,24.9225658,60.1498127,24.8861094,1.5
3/23/2020 8:24,3/23/2020 8:31,286,Mamsellimyllynkatu,275,Itäkeskus (M),1472,443,0.199367946,60.21825197,25.05910388,60.20960067,25.07596802,1.5
3/23/2020 8:24,3/23/2020 8:48,135,Velodrominrinne,33,Kauppakorkeakoulu,0,1421,0,60.2010614,24.9440506,60.1711591,24.924961,1.5
3/23/2020 8:25,3/23/2020 8:40,72,Eteläinen Hesperiankatu,101,Huopalahdentie,4497,921,0.292964169,60.17558787,24.91566275,60.1996653,24.8836209,1.5
3/23/2020 8:26,3/23/2020 8:35,80,Jäähalli,118,Fleminginkatu,1911,523,0.219235182,60.1894025,24.9205978,60.1895417,24.9521601,1.5
3/23/2020 8:26,3/23/2020 9:03,128,Päijänteentie,553,Metsänneidonpolku,10324,2198,0.281819836,60.1920576,24.9642238,60.186731,24.806152,1.5
3/23/2020 8:26,3/23/2020 8:48,117,Brahen puistikko,30,Itämerentori,4210,1333,0.189497374,60.1896706,24.9481024,60.1635309,24.9145165,1.5
3/23/2020 8:27,3/23/2020 8:35,121,Vilhonvuorenkatu,17,Varsapuistikko,0,471,0,60.1864633,24.9678718,60.1731029,24.94951927,1.5
3/23/2020 8:29,3/23/2020 8:41,77,Nordenskiöldinaukio,30,Itämerentori,2869,692,0.248757225,60.18523633,24.91724984,60.1635309,24.9145165,1.5
3/23/2020 8:30,3/23/2020 8:42,62,Länsisatamankatu,7,Designmuseo,2167,733,0.177380628,60.1589276,24.909692,60.1631032,24.94596,1.5
3/23/2020 8:31,3/25/2020 12:39,645,Piispankallio,596,Toppelundinportti,2888,690,0.251130435,60.168441,24.743532,60.1624471,24.7848628,1.5
3/23/2020 8:32,3/23/2020 9:01,150,Töölönlahden puisto,138,Arabiankatu,6518,1754,0.222964652,60.174646,24.935186,60.20649157,24.97707901,1.5
3/23/2020 8:32,3/23/2020 9:01,274,Voikukantie,235,Katariina Saksilaisen katu,7273,1746,0.249931271,60.2089976,25.08678211,60.21721481,24.98442008,1.5
3/23/2020 8:33,3/23/2020 8:53,2,Laivasillankatu,59,Salmisaarenranta,3714,1228,0.181465798,60.16095909,24.95634747,60.16478138,24.9009608,1.5
3/23/2020 8:33,3/23/2020 8:36,86,Kuusitie,88,Kiskontie,428,149,0.172348993,60.1952452,24.9018997,60.1989402,24.9012997,1.5
3/23/2020 8:34,3/23/2020 8:43,3,Kapteeninpuistikko,161,Eteläesplanadi,1065,364,0.175549451,60.1581892,24.9449274,60.16723083,24.94746582,1.5
3/23/2020 8:34,3/23/2020 8:41,121,Vilhonvuorenkatu,117,Brahen puistikko,1274,421,0.181567696,60.1864633,24.9678718,60.1896706,24.9481024,1.5
3/23/2020 8:35,3/23/2020 8:49,245,Kulosaari (M),262,Siilitie (M),3163,852,0.222746479,60.18895009,25.00656653,60.20596245,25.04516116,1.5
3/23/2020 8:35,3/23/2020 8:45,10,Kasarmitori,16,Liisanpuistikko,1556,629,0.148426073,60.16501718,24.94947288,60.1741822,24.9613747,1.5
3/23/2020 8:36,3/23/2020 8:44,280,Puotilan ostoskeskus,275,Itäkeskus (M),0,518,0,60.21270057,25.09555951,60.20960067,25.07596802,1.5
3/23/2020 8:37,3/23/2020 8:49,254,Agnetankuja,248,Gunillantie,2846,715,0.238825175,60.18723412,25.03641229,60.17198027,25.03296885,1.5
3/23/2020 8:37,3/23/2020 8:46,118,Fleminginkatu,150,Töölönlahden puisto,2448,531,0.276610169,60.1895417,24.9521601,60.174646,24.935186,1.5
3/23/2020 8:40,3/23/2020 8:54,121,Vilhonvuorenkatu,161,Eteläesplanadi,3163,809,0.234585909,60.1864633,24.9678718,60.16723083,24.94746582,1.5
3/23/2020 8:42,3/23/2020 8:56,126,Kalasatama (M),245,Kulosaari (M),3005,859,0.209895227,60.18755649,24.9770684,60.18895009,25.00656653,1.5
3/23/2020 8:42,3/23/2020 8:55,39,Ooppera,39,Ooppera,2534,786,0.193435115,60.1825529,24.926687,60.1825529,24.926687,1.5
3/23/2020 8:42,3/24/2020 10:45,63,Jätkäsaarenlaituri,69,Kalevankatu,712,501,0.085269461,60.1619311,24.9214896,60.16568,24.931422,1.5
3/23/2020 8:43,3/24/2020 10:45,63,Jätkäsaarenlaituri,69,Kalevankatu,0,521,0,60.1619311,24.9214896,60.16568,24.931422,1.5
3/23/2020 8:43,3/23/2020 9:03,1,Kaivopuisto,6,Hietalahdentori,2758,1208,0.136986755,60.15544479,24.95029289,60.1622251,24.9297099,1.5
3/23/2020 8:43,3/23/2020 8:56,95,Munkkiniemen aukio,111,Esterinportti,2698,783,0.206743295,60.1967196,24.8840917,60.1975724,24.9267808,1.5
3/23/2020 8:45,3/23/2020 8:58,85,Jalavatie,206,Ruskeasuon varikko,2928,786,0.22351145,60.1934696,24.905889,60.20767996,24.89866789,1.5
3/23/2020 8:46,3/23/2020 8:52,260,Herttoniemi (M),255,Laivalahden puistotie,808,309,0.156893204,60.19461462,25.02887208,60.1879581,25.03138531,1.5
3/23/2020 8:50,3/23/2020 9:14,45,Brahen kenttä,30,Itämerentori,3969,1464,0.162663934,60.1868618,24.9509168,60.1635309,24.9145165,1.5
3/23/2020 8:50,3/23/2020 8:57,142,Koskelantie,131,Elimäenkatu,1600,423,0.226950355,60.208749,24.9465139,60.1962627,24.9476186,1.5
